Model,MAE,RMSE,Direction Accuracy,Average Reward,FALL Recall,FLAT Recall,RISE Recall,Test Observations,start_date,end_date,Threshold BP
persistence_zero_change,4.707692307692309,6.048400630179039,0.13626373626373625,-0.7274725274725274,0.0,1.0,0.0,1365,2021-03-25,2026-09-08,1.0
linear_regression,4.925684591767144,6.368397968889325,0.336996336996337,-0.326007326007326,0.2801418439716312,0.46774193548387094,0.34959349593495936,1365,2021-03-25,2026-09-08,1.0
daily_lstm,4.731910645117029,6.068558491440072,0.20146520146520147,-0.5970695970695971,0.19148936170212766,0.7903225806451613,0.032520325203252036,1365,2021-03-25,2026-09-08,1.0
multi_frequency_lstm,4.8159732583530515,6.250135333663642,0.2644688644688645,-0.47106227106227105,0.17375886524822695,0.6989247311827957,0.216260162601626,1365,2021-03-25,2026-09-08,1.0
dqn,,,0.44835164835164837,-0.10329670329670329,0.6063829787234043,0.0,0.43902439024390244,1365,2021-03-25,2026-09-08,1.0
