model,date,actual_change,predicted_change,actual_direction,predicted_direction,mae_bp,error_bp,actual_label,predicted_label
persistence_zero_change,2021-03-25,0.009999999999999787,0.0,1,1,0.9999999999999787,-0.9999999999999787,flat,flat
persistence_zero_change,2021-03-26,0.040000000000000036,0.0,2,1,4.0000000000000036,-4.0000000000000036,rise,flat
persistence_zero_change,2021-03-29,0.06000000000000005,0.0,2,1,6.000000000000005,-6.000000000000005,rise,flat
persistence_zero_change,2021-03-30,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-03-31,0.010000000000000009,0.0,2,1,1.0000000000000009,-1.0000000000000009,rise,flat
persistence_zero_change,2021-04-01,-0.050000000000000044,0.0,0,1,5.000000000000004,5.000000000000004,fall,flat
persistence_zero_change,2021-04-02,0.030000000000000027,0.0,2,1,3.0000000000000027,-3.0000000000000027,rise,flat
persistence_zero_change,2021-04-05,0.010000000000000009,0.0,2,1,1.0000000000000009,-1.0000000000000009,rise,flat
persistence_zero_change,2021-04-06,-0.06000000000000005,0.0,0,1,6.000000000000005,6.000000000000005,fall,flat
persistence_zero_change,2021-04-07,0.010000000000000009,0.0,2,1,1.0000000000000009,-1.0000000000000009,rise,flat
persistence_zero_change,2021-04-08,-0.040000000000000036,0.0,0,1,4.0000000000000036,4.0000000000000036,fall,flat
persistence_zero_change,2021-04-09,0.030000000000000027,0.0,2,1,3.0000000000000027,-3.0000000000000027,rise,flat
persistence_zero_change,2021-04-12,0.020000000000000018,0.0,2,1,2.0000000000000018,-2.0000000000000018,rise,flat
persistence_zero_change,2021-04-13,-0.050000000000000044,0.0,0,1,5.000000000000004,5.000000000000004,fall,flat
persistence_zero_change,2021-04-14,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-04-15,-0.07999999999999985,0.0,0,1,7.999999999999985,7.999999999999985,fall,flat
persistence_zero_change,2021-04-16,0.030000000000000027,0.0,2,1,3.0000000000000027,-3.0000000000000027,rise,flat
persistence_zero_change,2021-04-19,0.020000000000000018,0.0,2,1,2.0000000000000018,-2.0000000000000018,rise,flat
persistence_zero_change,2021-04-20,-0.030000000000000027,0.0,0,1,3.0000000000000027,3.0000000000000027,fall,flat
persistence_zero_change,2021-04-21,-0.010000000000000009,0.0,0,1,1.0000000000000009,1.0000000000000009,fall,flat
persistence_zero_change,2021-04-22,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-04-23,0.010000000000000009,0.0,2,1,1.0000000000000009,-1.0000000000000009,rise,flat
persistence_zero_change,2021-04-26,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-04-27,0.04999999999999982,0.0,2,1,4.999999999999982,-4.999999999999982,rise,flat
persistence_zero_change,2021-04-28,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-04-29,0.020000000000000018,0.0,2,1,2.0000000000000018,-2.0000000000000018,rise,flat
persistence_zero_change,2021-04-30,0.0,0.0,1,1,0.0,0.0,flat,flat
persistence_zero_change,2021-05-03,-0.020000000000000018,0.0,0,1,2.0000000000000018,2.0000000000000018,fall,flat
persistence_zero_change,2021-05-04,-0.019999999999999796,0.0,0,1,1.9999999999999796,1.9999999999999796,fall,flat
persistence_zero_change,2021-05-05,-0.020000000000000018,0.0,0,1,2.0000000000000018,2.0000000000000018,fall,flat
persistence_zero_change,2021-05-06,-0.010000000000000009,0.0,0,1,1.0000000000000009,1.0000000000000009,fall,flat
persistence_zero_change,2021-05-07,0.020000000000000018,0.0,2,1,2.0000000000000018,-2.0000000000000018,rise,flat
persistence_zero_change,2021-05-10,0.029999999999999805,0.0,2,1,2.9999999999999805,-2.9999999999999805,rise,flat
persistence_zero_change,2021-05-11,0.010000000000000009,0.0,2,1,1.0000000000000009,-1.0000000000000009,rise,flat
persistence_zero_change,2021-05-12,0.050000000000000044,0.0,2,1,5.000000000000004,-5.000000000000004,rise,flat
persistence_zero_change,2021-05-13,-0.030000000000000027,0.0,0,1,3.0000000000000027,3.0000000000000027,fall,flat
