scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
1,3.956190748010795,4.045308107490051,4.156789262955602,4.378816366096699,4.555370837140465,4.7885863997622575,5.234685414769054
2,3.934544389160242,3.9975007646650456,4.1649916700015,4.409979233019287,4.591643497380346,4.799717688526546,5.274532622729134
3,3.975417262450976,4.0013547275368,4.142395791996907,4.3939333028364995,4.5496906435120765,4.7763215212002565,5.230262981741146
4,3.935038024140196,3.986038025131153,4.1409557050450685,4.3967104455035475,4.600318686403541,4.845569137459831,5.297244034722174
5,3.9700418904137593,4.0146567568315685,4.120669785714259,4.350799830924446,4.539369529790385,4.79558505509628,5.2652839914367355
6,3.9418470320026793,3.9709199507605724,4.130031030488759,4.3717475801056,4.537516818943362,4.750061930122693,5.200088232662662
7,3.953212810829009,3.999823675929245,4.159470358843018,4.409738665872277,4.595947939350368,4.824514511240535,5.29776261065916
8,3.961769598082108,3.9995459970227256,4.123321366878109,4.387836572447643,4.561779999295657,4.8146690896518995,5.2555953686361665
9,3.898514278667742,3.994272691969602,4.140694119180362,4.382900480725245,4.585211682385445,4.830437253185264,5.2782457258388185
10,3.9485296139817847,3.985421425863405,4.129900880213509,4.354037462131251,4.539304812784449,4.795127615714273,5.244165803983227
11,3.9600293455027877,4.01972974202719,4.197415750332024,4.452648428861385,4.627742640277793,4.8463899963708945,5.288276916562883
12,3.92529161880419,3.9973252385232065,4.140306009035567,4.383260857377792,4.5606463017239856,4.804758129198262,5.2559130751517955
13,3.944938741389531,3.9971409421279156,4.164521190619986,4.4266706895195815,4.623777672279244,4.85118925937887,5.313809851335774
14,3.9591049457338494,4.0185229999471135,4.128502530843616,4.408489085969912,4.577503442071996,4.820810642657536,5.238958039773196
15,3.944641571638948,4.009354959811448,4.175959434051445,4.390980269126614,4.549759097386943,4.782461750124274,5.226733758277985
16,3.948870438023002,4.025917186441666,4.176951926929733,4.398819618295257,4.587912232078937,4.810788961227356,5.243789696254985
17,3.9832425254707102,4.02488458326905,4.171148659593793,4.422785526698167,4.609981446911713,4.808027295641271,5.265195944493344
18,3.9749979222969976,4.005674401203497,4.175239997237289,4.412085055085253,4.579282999669899,4.796391794100082,5.264044950568846
19,3.950950072573753,4.006659660232983,4.1226527587899735,4.375181738346316,4.527045846340525,4.727669847540207,5.171245644775213
20,3.9669094742326743,3.99853783047468,4.190051792606416,4.411595647930406,4.611313324919435,4.780097851286919,5.244889916049407
21,3.923449822155758,4.004149933351324,4.1602683438712065,4.416072624069531,4.5706053515994505,4.776981298825116,5.2029303834512435
22,3.9268222868166665,4.007274203223515,4.121763572947924,4.387599489148755,4.5682912344280036,4.82408391286204,5.276297325279453
23,3.90809092967317,3.9943145443089434,4.127335319841355,4.376966971600038,4.553925743725269,4.82285725753129,5.289621649942501
24,3.8996210321785694,3.975108288530477,4.14659266387757,4.386765818887199,4.60239399165227,4.853000462848921,5.307870248372408
25,3.9307425464769676,4.012468249879495,4.15013569540891,4.412918080152319,4.570237761108461,4.812452940711499,5.258103551471749
26,3.9300847546729645,3.96576391933047,4.131200455297827,4.363752727222578,4.5589548954829455,4.811433582764264,5.273004733824471
27,3.9231170952858077,4.008199596476159,4.148319726236085,4.395760345086467,4.560637710054004,4.829015614887155,5.304804373625553
28,3.910993369607655,3.9551031767847853,4.088211384891818,4.345455979395979,4.487901357190053,4.741743022466734,5.219184441302459
29,3.9573069568600547,3.986159428178969,4.152262553633876,4.374691706678601,4.54691950056266,4.7749154805295015,5.223861708743318
30,3.976611908911503,4.0333979694783855,4.15151252767196,4.398904944567364,4.553805619282965,4.768643795313087,5.1917083771100865
31,3.970542819627167,4.0027304063350835,4.153786847982632,4.373863473134466,4.54453081505336,4.757248718634336,5.195776037975651
32,3.9341976541337633,3.979620477100524,4.130955513212845,4.369468149435943,4.5145735701289205,4.749183878567913,5.191275049773665
33,3.961470185698358,4.0320150466067854,4.158527660019023,4.355810396461597,4.527856262200005,4.815636052602551,5.284847264271593
34,3.962398508616918,4.029192545446413,4.1277054469207455,4.401876368918075,4.582482525242473,4.836531552774362,5.295756259919071
35,3.9427895018959727,4.036058598058238,4.1600509914552335,4.428956764580219,4.640214832886992,4.836435506165749,5.282994365304203
36,3.9734654447824997,4.068436445582068,4.209112420711354,4.407646838308572,4.603067352484997,4.8483294286689995,5.324717024007578
37,3.9431429623144867,3.998897831476444,4.1418700871333165,4.359013205405749,4.499024223427485,4.715189158722701,5.177305076361628
38,3.955861348655714,4.0183817603050365,4.178814745383117,4.429641940527161,4.636424546077939,4.857126455196912,5.308597203117591
39,3.9409254324233385,3.9970132883635077,4.142987111452649,4.378986350028117,4.563491101502682,4.806147940570281,5.2518205289620985
40,3.9207894939732606,3.9539523400565413,4.091670058338845,4.298565724253943,4.486702036337831,4.741584137130154,5.182919558895897
41,3.978570520450399,4.040762025390727,4.164499214320419,4.381570776094921,4.550448068866963,4.773780273137962,5.220080545271556
42,3.95680088531175,3.989462623573238,4.162340149984351,4.401811952686721,4.553394080197316,4.816927530874742,5.2424464602177805
43,3.9506696902904617,4.010819976854311,4.144791969988407,4.377287521703327,4.595426908624996,4.819835766440213,5.263101758689323
44,3.936540891648214,4.012047705347965,4.156420784441204,4.422948990728084,4.643465960039019,4.873391127847769,5.327734796426374
45,3.9381551397205525,3.967315740873999,4.120808049581932,4.346413682858204,4.529577449101655,4.781479936909726,5.282876956170134
46,3.929089734464754,4.004158267717886,4.169618991558966,4.397073171402024,4.586580534222453,4.821562668709586,5.260868896467429
